"","real.all_comments.textOriginal"
"1411","Michael adkins>>Give me the difference between a rifle and a assault rifle???"
"1412","Traci sims-A grenade launcher would indeed make them deader lol all over the place! As far as parkland he could have used a variety of weapons that would have done the same thing as the AR-15 that dont look like it at all! yall wanna ban something you have no clue about the fact that hand gund are used more in schools then a rifle cause its easier to hide but the rifle is the number 1!  And beacuse when you ban 1 they will eventually get the others and then you're screwed! And why cant we blame the kid who did it i mean if only he didnt have that gun............... well he would have found another way why not ban crazy people oh thats right they do but the cops there decided to say screw it we will keep letting him silde hes not gonna shoot up the school like he says he is!!  40 times is plenty dont you think to put someone in jail for shit i would think! but silly conservative me i live in a world where bad shit happens and you cant do shit about it but try and protect yourself if something does happen."
"1413","Why not a bb gun then since im sure they are nice crimals!!! why not just tel make they self at home holler if you need anything lol!! This is why we talk about this to people like you! you can not own a atuomatic weapon just about every hand gun rife shotgun are semi-auto NOT fully auto you jake asses are agruing for shit you know nothign about! but for a giggle look fully auto, semi-atuo, and since you dont like the scary black AR-15 look up a mini-14 same ammo shoots just as fast but isnt the scary black one lol!! if you wann ban something atleat know what your banning first!"
"1414","doesnt make you a gun expert tho?? just sayin!!!

iv drove a car over 100 before doesnt mean nascar is gonna be calling soon to drive they'res!!!"
"1415","SOLUTIONS: *Metal detectors are proven* to get even crazy people (drunk on Allah) to stop shooting up Jew kids/Jew schools.  *Banning guns is proven to... get cartels -- or despots -- having a MONOPOLY on firepower,* which they abuse.  *""Power corrupts,"" and a MONOPOLY on economic power, MONOPOLY on firepower, or MONOPOLY on media power, etc, is what ""corrupts absolutely"" as the saying goes.  The Zetas cartel are the **google.com/search?q=NOMENKATURA** cronyinsts of PRI* (socialist party of MEX), journalist Carmen Arristegui proved -- *including the president (Senor Socialist Pena Nieto) paid to ""look the other way"" as kidnappings (usually with RAPE until the father pays)/sex-slavery (combined) for a MEX woman today = 15% before she hits age 65.  15% of all women.*  Men are harder to kidnap, so it's more rare unless you're part of an enemy cartel, but then torture-instead-of-rape is typical.

Also, *MOST cartel guns are traced to the insanely high 1-in-8 soldiers in MEX'S OWN ARMY who go AWOL -- with their rifle.*  And CORRUPT OBAMA DIRECTLY ARMED cartels with a few thousand more.  So again, the Dem Party ""solution"" is to arm criminas, and disarm the honest, hard-working people.

Even more are 3D PRINTED AR15's in some cartes (see my last paragraph for what happens if USA bans AR15's, and how HILARIOUSLY naive you must be if you think that will empower anyone EXCEPT criminals who'll make home-made AR15's EASILY w/today's technology).

...and Gun-free zones?  Don't even make me laugh; *98% of mass-shootings happened in the Democrat-created gun-free zones.*  This is a ""Shooting fish in a barrel zone, until typical police response-time of 5-12 minutes, or worse the police wait for SWAT which is a typical >25 minute response-time"" which encourages the mass-shooters.  *So a gun-free zone is just a smaller and shorter-term version of despots or cartels having a MONOPOLY on firepower;* good going ""brilliant"" Socialist-Democrat legislators.  Most of these shooters are crazies who commit suicide before the police even arrive, or commit ""suicide by cop"".  WHEN YOU HAVE SECONDS TO LIVE, HELP (POLICE) ARE ONLY MINUTES AWAY. :-)

Anti-gun Broward County Sheriff says ""only police professionals should have guns"" as 4 of his deputies fail to protect students with their guns.  Despite they already had bodyarmor.  MEX poice are even worse (even of those not CORRUPT, the rest are mostly coward, and DON'T mostly have bodyarmor to increase their bravery, nor guns as powwerful as the cartel sicarios').

. . . The millions killed by those Mexican cartels or (usually SOCIALIST) despots facing Disarmeed Sheeple makes ALL school shootings since 1990 look TAME in comparison; even CHICAGO'S ONE YEAR DEATH-COUNT of 2015 or 2016 or 2017 makes ALL school-shootings look TAME in comparison -- but of course the media ignores Chicago, they don't ACTUALLY care about Black people any more than GW Bush did.  ...and so you're left with irrational people who think Western society's biggest problem is mass shootings; the media makes you think cops shot mostly Blac people also, when the REALITY is that, per arrest, the suspects who are white get killed by the cops the MOST often.  MEDIA's coverage is not in-line with the real prevalence of murder-rates; same with the prevalence of whom cops ACTUALLY shoot-during-arrests.  You'd think the media maybe WANTS Blacks to riot, assassinate police, starting a race-war they are ill-prepared to win?

*EVERY mass-shooter was stopped when force was met with force.  So you need hard targets,* not ""shooting fish in a barrel until police arrive"" soft targets, nor ""ban guns and WAIT MINUTES for police"" when shootings can happen in SECONDS 
. . . Also, *_ANYONE CAN 3D PRINT AN AR15 OR GLOCK from plastic and billet aluminum for a <$1,000 machinee that builds >10 FULL-auto rifles per day, you DOPEY Democrats, then the cartel has employees cut the barrels and MANUFACTURE their own ammo -- which any APPRENTICE BLUE FUCKING COLLAR machinist can do.  Idiots. (you are therefore only going to disarm the honest, hard-working portion of society, so ORGANIZED CRIME can prey upon them)_*  Israelis also did home-made guns and beat FIVE Arab armies with these, when in 1938-1947, UK saw that Hitler was the next man they'd need to fight and wanted to woo the already-HITLER-ALLIED Palestinians (didn't work) by alienating their ties to the Jews and Jordanians, a cassified internal memo released near Y2K says that was their motive.

A SEMI OR FULL AUTO RIFLE aint rocket science; banning them = you unilaterally disarm yourselves, whilst people WHO WANT TO KILL YOU cannot be disarmed -- even if you ban 3D printers."
"1416","🅷🅾🆃 *Тokеns* ► [ pidtu.au-on.ru ] ◄ *Тоkеns* 🅷🅾🆃
🅷🅾🆃 *Tȯkеns* ► [ pidtu.au-on.ru ] ◄ *Tȯkеns* 🅷🅾🆃
🅷🅾🆃 *Tȯkėns* ► [ pidtu.au-on.ru ] ◄ *Tоkėns* 🅷🅾🆃



*Таklimakаn Nеtwork* is а Вlȯс̣kchаin-bаsėd invеstmеnt аnd ėduсаtiоnаl businеss plаtfоrm fоr сrурtoс̣urrėnc̣у invеstȯrs, tradėrs аnd аnаlуsts. Рlatfоrm ȯffеrs trading signȧls, strаtėgiės аnd rėcоmmėndatiȯns frȯm р̣rоfеssiоnаls sеnt exс̣lusivėlу tо рlаtfȯrm usеrs. Visit wеbsitе fȯr mȯrе infоrmаtiȯn - ► [ pidtu.au-on.ru ] ◄"
"1417","Kiki Glazebrook I looked up what a troll is, just to make sure. I'm exactly who I say I am, my purpose in this thread is to educate, and I would say the exact same thing if these people were sitting in front of me. 

I'm just sick and tired of seeing people gaslight the truth. I used to be a card carrying NRA member, in the 80s and part of the 90s. I watched the NRA go from being all about gun education, to Charlton Heston saying they'd ""pry his gun from his cold, dead fingers"". That's when I quit. All I wanted was to defend my home, as a single woman, not to be a gunslinger.

I only own black powder guns now, and they're still kept in my safe. They're all inherited heirlooms, or I'd get rid of them as well. I don't want my grandkids getting a hold of a gun that a video game would teach them how to load. I thank the good Lord that my kids never got a hold of my semi-automatic guns when I still had them. 

Another significant event happened in my life, that changed my feelings about guns. My own brother bought a gun because he was scared after firing an employee. A year later, he got very drunk and shot his girlfriend in the head, then put the gun in his mouth, killing him instantly. 

When he first showed me the gun, the way he bragged about it gave me a bad feeling, as though nothing good would come of it. So, no. I don't think everyone should have a gun. He was sane, but, he was a binge drinker. 

To me, what these kids are asking isn't quite enough, but it's a damn good start. I'll do anything I can to support them."
"1418","tdsm19 you're trolling😂😂"
"1419","Weapons are a nice Thing Stupid Americans!Fuck the Weapon-Industry!"
"1420","That parent lives in america full time and cant speak english?"
"1421","What's really strange is that TV ""news"" requires more than one person to read the teleprompter.  What's even more strange is that we can't just have the teleprompter text sent to our phones.  It's 2018 after all.

Useful idiots, all of them.  You're being brainwashed.

I served in the Marines from 1999-2007, and witnessed first hand the fake news in Iraq in 2003.  ""1000's of protestors"", was actually a few dozen.  They were celebrating our arrival.

Believe nothing you see on MSM, local stations included."
"1422","He deserves the death penalty"
"1423","Why does it take so long for cases like this? Just get it over with. Vote on death or life in prison and let's get the ball rolling."
"1424","Why would you wanna be an old man in jail? Why would anyone? Rather die than be an old man in jail.. u should too.. wtf"
"1425","Dumb asshole would've got paid if he didn't kill.. ugh.. so ungrateful"
"1426","I WOULD LOVE TO SEE THE OTHER INMATES BEAT YOU UP EVERY DAY CRUZ YOU NEED A HARSH BEATING FOR KILLING 17 INNOCENT PEOPLE FOR NO REASON"
"1427","WELL CRUZ WHY DID YOU KILL 17 INNOCENT PEOPLE FOR NO STUPID REASON CRUZ YOU STUPID JERK YOU SHOULD GET A BEATING BY THE OTHER INMATES"
"1428","Youre charging this guy for murder to set an example that murder is morally wrong, and to do that you plan to murder him."
"1429","That poor kid"
"1430",":D
die in pain motherfucker!"
"1431","FUCK HIM HE DESERVES TO DIE A SLOW PAINFUL DEATH FUCK OFF WIT THIS HE IS SICK LIKE IDGAF THST PUSSY HAD ENOUGH MENTAL CAPACITY TO PLAN AND KILL 17 INNOCENT PEOPLE IN FACT WHY TF IS HE BEING CHANGED AS A KID GE IS 19 FUCKING YEARS OLD FUCK HIM"
"1432","Never made it to a correctional school huh"
"1433","It took them this fuckin long to Say This!"
"1434","Put him in the chair"
"1435","FUCK THIS MOTHER FUCKED BY SATAN."
"1436","""Many that live deserve death. And some that die deserve life. Can you give it to them? Then do not be too eager to deal out death in judgement.""

― J. R. R. Tolkien, The Fellowship of the Ring"
"1437","Hot judge"
"1438","Judge is hot.. oh yea r.i.p. students. Justice was served..."
"1439","What's wrong with white kids nowadays? Too much gta and shit eh?"
"1440","DEATH BY HANGING. HE HAS CHOSEN HIS PLACE IN SOCIETY"
"1441","They need to just put him down like a dog"
"1442","Kill him kill him"
"1443","Fucking idiot"
"1444","Stone this piece of shit to death"
"1445","So what I gotta do to end up in her court , I'll kick a few kids in the face"
"1446","I just wanna smash the judge"
"1447","Hmmm. A school shooter facing the death penalty. Ya don’t say?....."
"1448","Boi I know this man ain't wearing no flip-flops"
"1449","ive never seen such a hot judge before"
"1450","there goes my last name"
"1451","Fucking piece of shit ain't nothing but the devil in disguise!!!!!💯💯💯💯💯"
"1452","I hope that sorry motherfucker dies in prison!!!!!!💯💯💯💯💯"
"1453","“Fuck”the judge ,kill the dog hell yeah"
"1454","Remember kids if you shoot up your school kill yourself afterwards"
"1455","I feel sorry for him"
"1456","If he converts to Islam while in prison does he go from mentally ill to a terrorist?"
"1457","I'd fuck the shit out that judge"
"1458","That judge is hot"
"1459","My idol"
"1460","Judegeyis super hot"
"1461","Death penalty is too good for him..."
"1462","Think about this . Why do you hate Nicholas Cruz . He did nothing to you . Seriously think about it"
"1463","Kill that mother fucker"
"1464","The lack of empathy in this comments section makes me sick"
"1465","Is it just me or am I getting a kind of autistic vibe from him?"
"1466","rip"
"1467","The killer in norway in 2011 killed 69 people. #norwayisfuckedup he  got 25 years in jail search Breivik on youtube"
"1468","this is actually so sad"
"1469","That judge can sentence me any day main"
"1470","When are the cops and FBI going to be charged for doing NOTHING!"
"1471","fell sorry for the kid... if only he could of killed more students and teachers... I hope his evol cunsumes someone elses heart. kurva elet nem sobad hogy ot legeyl... magy a vered masokra ish oda sal."
"1472","Burn him alive"
"1473","Don’t execute him make him rot and rot and stare at a wall all day for the rest of his life.."
"1474","I honestly want to see him die slowly and painfully. He deserves it"
"1475","What a pussy..."
"1476","Isn't it that one kid that shot up that one school in Florida??"
"1477","NOOOOOOOO DEATH IS TO EASY LET HIM GET HIS ASS RAPED IN JAIL"
"1478","So what....nobody is talking about this other shooter? Many eye witnesses say there were two shooters. One wearing full armor.  Even a helmet but I guess this is just....it.

Shit is so fucking wrong"
"1479","pathetic little dude hiding behind a gun. Hot judge though"
"1480","Off with his head."
"1481","😫 Jesus Christ... I can’t even fathom what would make someone go to a school and shoot children. May god not have mercy on his wretched soul."
"1482","I hope he gets out of jail and comes my way."
"1483","guys dont u think all shooters should be put on death penalty especially shooters who shoot up liltte kids the should get lethal injection"
"1484","I’m glad Anthony is alive we played soccer together"
"1485","He is going to be murdered in prison, I hope he knows that"
"1486","Don't punish murder with murder"
"1487","I would 100% rather fuck his lawyer so fucking hot middle age milf, I bet she rides and swallows dicks so good"
"1488","Why plead not guilty? 

Some one it's because he didn't actually do it. There have been conflicting reports, several witnesses reported 2 men, others reported a man in a mask, and some kids reported seeing Cruz as gunshots were still going off."
"1489","That judge can lock me up and throw away the key any day"
"1490","Nooo , dont kill him he killed 27 people but only GOD can take peoples life cus he gave it to u"
"1491","Hell yeah my boy Nikolas Cruz!!!"
"1492","Stop selling guns, or kill the criminals and dont give them a chance to live in prison doing push ups and squats...."
"1493","Thank God He was NOT a Muslim!
Otherwise he would be called a terrorist and worse than that even his religion would be insulted and all the Muslims would be suffered!
#TerrorismHasNoReligion"
"1494","damn that judge is fine af"
"1495","What the fuck is up with all these school shootings!? Everyone's fucking dumb in the US? Legit the kid saw a school shooting and was like ""oh that's hella cool, I wonder what could go wrong 🤔..."" or what??






*???*"
"1496","Death sentence plz"
"1497","Death sentence for that piece of shit.."
"1498","If this was the medieval times, this dude would be dead by know"
"1499","HAHA THATS WHAT YOU GET WHITE BOYY WANNA GO AROUND KILLINN PPL U FUCKING PSYCHO"
"1500","For him to share the name Cruz. Its a fucking embarrassment to know I share the same last name as him."
"1501","Fuck yes that physcio is getting the death penalty fuck yws"
"1502","He didn’t do it"
"1503","He should not in prison"
"1504","I blame black people. Kill niggers"
"1505","Please show footage of every day he gets fucked up on prison"
"1506","White people"
"1507","He doesn't deserve an attorney."
"1508","Excuse me but the judge is sexy I wouldn’t mind her reading me my rights naked"
"1509","Why did he killed them?"
"1510","Gayyyye"
"1511","They should give him 25 years then death penalty so either the fuckers gonna die. Kill him mentally then send him death row 😎😎😎"
"1512","Tht judge is sexy"
"1513","Kill that ugly looking dwarf kill him"
"1514","Is he on death row"
"1515","Wait is he getting death penalty"
"1516","2:55 that guy on his left is Mark Zuckefberg"
"1517","I just feel sorry for him what was his motives to do it
I mean maybe he has mental or psychological issues"
"1518","just take him behind the courtroom and shoot him in the back of the head just like he shot all those kids"
"1519","I feel for his family. Imagine waking up to your brother or your son or your father turning out to be a mass shooter. That will haunt you for the rest of your life, people wouldn't let you live it down. Not sure if you can even put THAT much blame on family either, even if they knew of the tenancies. Mental really."
"1520","In india he will enjoy the jail"
"1521","Judge gives death by snoo snoo"
"1522","Shoot more schools up jk"
"1523","what he did might be wrong but he is still a child of God and should be treated as such. He still deserves love and respect."
"1524","the judge is so sexy"
"1525","......wow..... This comment section.............. You must be Emma but with multiple fake accounts"
"1526","Jewish terrorist"
"1527","He better not be dropping soaps in the prison."
"1528","He should be in jail forever"
"1529","Yess"
"1530","is it me or does the judge look hot af."
"1531","Wish we could torture this guy then kill him"
"1532","Fry him alive for all he had done"
"1533","No sympathy for the kid, but a tortured soul in a otherwise broken society will the cycle ever change. America wake up and smell the coffee."
"1534","The judge can get the pipe tho"
"1535","He's fucked."
"1536","The guy in the thumbnail looks like Matthew Santoro"
"1537","all mass shooters need death penalty by torture that needs to be shown to the public..  Maybe that will stop copycats but in reality probably will just cause more self inflicted gunshots at the end of their shooting sprees."
"1538","I understand that law enforcement has to remain professional in all situations.  But it's people like this that you simply cannot remain professional. He killed 17 innocent children. He needs to be beat, torchered and every worse thought you can think of. And then repeat. Do not give him death penalty when he needs to suffer every single remaining moment of his life. Period"
"1539","Why they say suspect 😂😂 Wtf"
"1540","Was it actually him tho"
"1541","God damit this judge is hot"
"1542","Yay"
"1543","Only God can truely judge this young man."
"1544","It's quite ironc how he's scared to die after taking 17 lives. Those kids had no chance to negotiate the terms and neither should he."
"1545","after seeing the judge i had a shooting in my pants"
"1546","Broward county officers won't do anything... we know that much"
"1547","It's sad he did this shit But y'all see all these comments All people know is hurting other ppl Sad what this world has come to Shout out to the people that's good hearted Don't give up on your faith so many people just lost out here.🗣️💯🖖"
"1548","here in philippines, cases like that will be always defended by the CHR, even those police took him too jail, has a 80% chances that police can go to jail because of hurting the criminal(like putting a lock on his hands), sad truth"
"1549","Still don't get why they didnt soot him in the head TWAT"
"1550","How did Microsoft get in there??





Oh wait..."
"1551","He deserved to die he kills a lot of people!"
"1552","Well I hope they play the live dispatch audio; that by itself will exonerate him on how the cops and dispatcher identify multiple shooters.  Not to mention the multiple witnesses that said there were multiple shooters while one of the witnesses was talking to Cruz while shots were fired elsewhere."
"1553","Judge is hotter than everyone damn"
"1554","Blame him! Not guns!"
"1555","This was a false flag operation"
"1556","what about the 4 cops strangely arriving / leaving in truck?"
"1557","For Gods sake a 9mm round is like 16 cents"
"1558","Why do they publicize this sick fuck? I garantee if the justice system wasnt fucked and they could hang the slimey sons of bitches that there would be a lot less crime"
"1559","*SUSPECT*???  WTF"
"1560","Lmao he dead"
"1561","*Mathew Santoro, What are you doing there? lol **2:50*"
"1562","*ooo damn, that's one hot fucking judge. what a milf. I wanna fuck her everyday*"
"1563","They shouldn’t use the death Penalty. Make him get help."
"1564","He should rot in jail..."
"1565","18 deputies in the courtroom give me a fucking break Overkill libtards. He's so frail you only needed one cop. Libtards always going for the overkill 18 cops for this 100 pound kid. What a joke"
"1566","Yesss kill that fag"
"1567","He should be put down for what he did"
"1568","What a scumbag"
"1569","He has adhd and autism. Yeah what he did was bad but he's not mentally okay. Idk how he was even able to stand trial. But I dont think the death penalty is appropriate. I'm more interested in what lead him to commit such actions. He was bullied, and nobody is talking about that, they just like to point the finger. As long as none of you were involved, you dont care. And it sickens me. Instead of solving the issues that leads people up to these moments you're all *so quick to pull the trigger on him.* I guess that doesnt make you much better than him does it?"
"1570","This faggot looks like Ben Stiller with his goofy ass ears"
"1571","So all of the Coward County Deputies can show up, but only after the danger is gone?"
"1572","Cruz looks like JD from heathers"
"1573","No more fortnite"
"1574","Stupid ass kid..had his whole life ahead... over fkin 10 grand in the bank annnnd 25 grand Coming!!?  Wtf"
"1575","I wish he killed more than 17 kids"
"1576","Hope he gets the death penalty"
"1577","I have a song about this on my channel, check it out 😅🙂"
"1578","not guilty my ass he shouldn’t even deserve to plead not guilty he deserves a slow n painful death"
"1579","anybody realize that he wants them to not pursue death penalty, he doesnt want to die, meaning that hed rather live in solitary than die. I say just kill him"
"1580","Thank fuck he's not rich or they'd give him a slap on the wrist"
"1581","That judge is fine asf though 😍😍"
"1582","They shouldn't be going this far, he may have shot up a school but you got to remember he has autisim"
"1583","Saint Paul killed over 200 catholic believers and still made it to heaven ..."
"1584","God's mercy is greater that our mercy towards people. We all are criminals before God"
"1585","Why do people think it's him?  Not saying it's not but what had the attention turned to him? Where is the mask and helmet he wore? Where did they find the gun?. Who gave the suspects description? Why does he always look down? Why does his lawyers want him to plead guilty? Just to escape the death sentence? So he wants to rot in prison? No disrespect just questions."
"1586","Shouldn't have bullied him"
"1587","Give HIM the chair . Rot intelligent ."
"1588","Butthole now —> (x)
Butthole in six months —> (  O  )"
"1589","Where is god in our life if every 2 word we say the F word and bad word"
"1590","No real love if his family offer him love and god since he was 1 year old   Then no one have to die"
"1591","Good I hope he gets the death penalty"
"1592","FF"
"1593","I will bend over that judge right then and there"
"1594","they made him a favor, should have sent in jail getting raped by everyone"
"1595","Maybe people shouldn't  bully people."
"1596","He shouldn't even bother standing."
"1597","Just fry that lil shit n save the U.S. some money!!!"
"1598","Why’s the judge peng af"
"1599","JILF"
"1600","Why nobody calls him a terrorist?"
"1601","That judge is hot"
"1602","FREE UP NICK"
"1603","Damn the judge is super *fine*"
"1604","They should his ass in Guantanamo...or just put him against a wall an shoot him."
"1605","Put him on Beyond Scared Straight"
"1606","Kill him"
"1607","Life in Prison is in my opinion the better (worse for him) option because death would be to easy. But what a lot of people forget that ypu wait for your death penalty years and thats probably the worst to wait for the end that long."
"1608","Okay. There's something we need to talk about. Do ya'll see this fine ass judge? 1:00

Florida does it again. Best ladies in the United States."
"1609","Fuc this dude like FUCK"
"1610","Oh CAWD, That Judge is hot"
"1611","wow the Anthony boy is a hero he saved 12 people"
"1612","Those nigggers arw gunna rape u and poke youuu upp pussyyy ur soo fuxkeddd"
"1613","I caanntt waaiitt to come ti floridaa Nicolas cruzzz git my ar 15 ready just for u"
"1614","The death penalty is the easy way out. I mean he would have killed himself anyways most likely, Let him rot in jail."
"1615","Bro wtf just kill him what yall waiting for?"
"1616","I swear fucking Americans make no fucking sense and there's school shootings like all the fucking time and u still c!aim ur the best country in the world hahah my ass y'all can hate on me really don't care but I'm talking the truth"
"1617","Why didnt he shoot himself idk."
"1618","So does he get the death penalty or what is the sentence"
"1619","He wasn't severely bullied.
In fact,  he was rather alienated than picked on. Here's a synopsis: People didn't befriend Nikolas because they individually believed for him to be insane. What do you expect? The cops get called on you over 30 times, you talk about guns all the time,  you get expelled for bringing knives to school, and so forth."
"1620","Because he was bullied and he has a mental illness, he acted on emotions not politics"
"1621","Eduards Babinjans cuz ur mum gay"
"1622","You'll see, give the court a couple weeks. Probably even months."
"1623","Im going to go visit this strong kid i know exacly what they did to him"
"1624","Cruz (and others of his ilk), are some of the biggest reasons the 'Death by Firing Squad' application should be brought back into use.
Let HIM (and others of his ilk), stare-down the barrel(s) of the firearms that are going to end HIS worthless life.

Karma approves."
"1625","that piece of shit deserve torture .. please kill that scumbag soon!"
"1626","Who knew Matthew Santoro was a cop?"
"1627","Free my dude he ain’t done shit but walk the talk smh"
"1628","So are you guys gonna try to actually find the 2nd shooter or just let him be sentenced as the lone gunman even though teachers and students say there was a 2nd shooter? Just liberals staging another tragedy to push their agenda. Hogg wasn’t even at the school when the shooting began, he admitted it himself on video."
"1629","He’s sad about his life sentence of ass raping to his weak self."
"1630","Fuck that horrible person."
"1631","He murdered 34 people, give him the gas chamber.."
"1632","took them long enough"
"1633","Why can’t so,embody get er done and shoot him right in the brain"
"1634","they should give every one in the court a sling shot and shoot at him with rocks for 5 minutes and then give him his sentence"
"1635","Guys make sure u lock up his guns to they might get up and shoot more people"
"1636","He should rot in jail"
"1637","For fuck sakes if he admitted and it's clearly him who killed the people then don't put in the damn title sub spect"
"1638","Hes gonna die in jail..."
"1639","They should bring back the firing squad"
"1640","Noice"
"1641","He wont be so quite when he gets gang raped in prison. His ass will be like a train tunnel."
"1642","That little shit"
"1643","Hard labor more useful"
"1644","I think we should give him another chance in life.




Haha you read this thinking I was going to say JK."
"1645","Why the death penalty? Make him suffer in solitary confinement"
"1646","He's a physcopath"
"1647","Put him in a dark room with no water and food and let him sit there himself and die..."
"1648","He needs to be crucified like Jesus"
"1649","His inheritence should be given to the casulatie's families"
"1650","Obvious MK Ultra mind control scapegoat....this guy didn’t shoot anyone, he’s just takin the rap for it"
"1651","just kill him. no room on this earth for him"
"1652","Does anyone else wish he was black so the police would of killed him the same day ..."
"1653","Kill that Fucker. Dont have to waste money keeping him in jail 👍"
"1654","Damn westerners"
"1655","Not a thug or terrorist cuz he ain't muslim or black he is just a mentally ill white dude"
"1656","I don’t understand how it takes this long for a white school shooter to get the death penalty but all these black unarmed males are being killed DAILY with no hesitation"
"1657","yay"
"1658","Maybe he got bullied? I think that if something like this happens they have to look what went wrong so they can prevent it I don't think this guy was like he you know what, my life's going so well and I feel so good today that I'm shooting people today"
"1659","Judge can get the dick"
"1660","Isis"
"1661","If he didn't get bullied this wouldn't of happened.






But there are some sick fucks who just do it for fun, this isn't the case."
"1662","idiot"
"1663","Is he being judged by a professional, or a thot in clown makeup?"
"1664","Its not the will of God that the wicked perish but rather that they repent. Besides, does the FBI not share blame since they knew? How about the police that waited outside? Will you be hypocrites and only execute one individual or every one that share responsibility for this incident? How about the one that bullied him? Is she not also guilty? If you execute this kid you might as well execute every sinner, or be called a hypocrite. Judge not or you will be judged. Repent and give him the oppertunity to repent too. If your ""justice"" does not bring back those that are lost then your ""justice"" have already failed. Therefore you should aim to prevent. The only way to prevent all wrong doings is to be the perfect example. Do not be a hypocrite."
"1665","Judge is so damn fine ....."
"1666","What bullying does to someone or judt hstes the fucking school and is an blood thirsty fuck head who is probably going to die by aging or cancer or some disease that can fucking kill someone."
"1667","Stab him with pencils"
"1668","Should have get a 50 years sentence then electric chair death penalty..should have jailed so prisoners can beat the shit out of him"
"1669","The judge was hot"
"1670","What's up Judge Elizabeth"
"1671","Why are they even considering giving him the death penalty?"
"1672","Hmm,... quite a hottie the jugde."
"1673","Free the homie"
"1674","It would be better if you give him 20 years and after the 20 years a death penalty"
"1675","Phuk Cruz and the horse he ran in on. That's Beavis in the flesh. Die u sob!"
"1676","Cute ! Homemade TERRORIST !"
"1677","Just keep him in a tiny cell for the rest of his life with a big black rapist and slowly decrease his intake of food and water until he eventually dies of dehydration or starvation"
"1678","death by ass rape"
"1679","I'll be following this whole story all the way through as long as this Hot Judge is on the case"
"1680","piece of trash."
"1681","Gingers have no soul."
"1682","I got your back Nick!"
"1683","Just give him the death penalty. Or put him into a prison for life and let him get the shit beat out of him for years. Let him be punished for the pain he has caused, or end this now and not make it a long drawn out process. Why plead not guilty when literally everyone knows he did it. I know America is in division right now and we all have different views, but I’m pretty sure all of us can agree that we need to rid of him."
"1684","If someone says anything positive about him they would probably be put on the FBI watch list"
"1685","stupid americunts killing each other for no reason lol faggot losers ..."
"1686","white devil!"
"1687","Filthy white terrorist!! White faggots are the worst subhuman scum on Earth!!"
"1688","Why are most judges in america  FEMALE?!!"
"1689","The judge is extremely hot"
"1690","That royer guy can't even speak proper English...send that illegal back to Guatemala!"
"1691","This piece of shit deserves nothing but the death penalty. fuck him."
"1692","He lost a kahoot




So he decided to kashoot up the school





This is a edgy joke please dont take it seriously"
"1693","He deserves nothing. He deserves absolutely nothing. Rot in hell"
"1694","I think his bullies should be charged too honestly yes what he did was terrible asf but his bullies pushed him and people pop .probably if they didn’t pick on him he wouldn’t have done what he has done ."
"1695","Now he’s (NC) is the rockstar, getting tons of mail and even funds for his legal battles. The Dems are making him the victim now..."
"1696","Apparently the word terrorist doesn't exist if he's not Muslim."
"1697","That judge is hot!"
"1698","Bullying and rejection?"
"1699","Haha fucker you deserve it."
"1700","The NRA have said video games are the reason for shootings not guns. Like if you’ve played video games and haven’t thought about committing murder."
"1701","I’m not saying it’s ok to go in a school and shoot it up, but the death penalty is horrible. They strap the person down in a laying down chair and inject them with drugs until their heart stops. The people are payed money but have no idea what they are doing so it often goes wrong and leads to a painful and horrifying death for the person. Even if you are the worst person alive no one should have to go through that shit like holy fuck, just imagine sitting there waiting to be killed! That’s horrifying!"
"1702","Who wants to beat the shit out of that guy      I sure do"
"1703","Ate too many Tide soap pods"
"1704","He's not a suspect, he did it"
"1705","Put this dude on death row"
"1706","Send him to Supermax for 60 years and then receive death penalty."
"1707","Judge: 340 years in prison sound good sir?"
"1708","#freenicholascruz"
"1709","Let the pos burn."
"1710","First"
"1711","I like my own life and I like uuiuuu"
"1712","All I can say is I want to beat the cheeks outta judge Elizabeth. Ya heard me"
"1713","There should be more stories on borges"
"1714","Fuck the boy i wanna smash the jugde"
"1715","Scum."
"1716","The judge hot asf 😍"
"1717","He doesnt belong to jail he should be in some ASYLUM :D"
"1718","HES KOMING BACK.... WITH MINIGUN AND NUKES"
"1719","The skin head lesbian is melee retarded"
"1720","Holy shit, that judge is hot!"
"1721","My blood pressure goes up when I watch this shit. I should stop watching depressing news."
"1722","I say allowing him to live his "" life in a cell closet is more justice than a death penalty there wouldn't be any satisfaction to put a killer death so quickly and easily I say make him face his crimes  I don't believe that death is necessary"
"1723","JazzyENT. IMVU yea it really sucks that white cops drive around in Abrams tanks ready to incinerate anyone who shows an inch of black flesh. Oh wait. That’s not how it works. Stop blaming others because so many blacks decide to commit crimes. It’s nobody’s fault for the black community being behind except the people of that community. And your clearly a racist piece of Shit."
"1724","Don Johnson 
first of all no its not
Second of all based on your logic what you just said would be copying. You see what i did there slob, by you using that joke right there that is stealing.

GTFO of this comment you vile piece of hypocritical shit"
"1725","Calm down kid...
First of all, it is stealing because it's not original; you literally just copied the same exact joke from another page.
Second of all, someone calling my mother gay is a joke because it's funny, originally delivered, and it exaggerates, specifically the sexuality of my mother."
"1726","Don Johnson its not fucking stealing a joke if you simply use it fuckhead, by what your telling me the next time anyone says u mom gay or says some other shit they are stealing a joke to? Get the fuck out of here you stupid fucking troll"
