"","comments_real","comments_2012","comments_2013","comments_2014","comments_2015","comments_2016","comments_2017"
"lot",20,5,60,38,23,72,71
"loud",1,0,1,2,6,25,53
"louder",1,0,0,0,0,1,2
"love",22,10,66,32,16,64,56
"lovebone",1,0,0,0,0,0,0
"loved",6,1,10,4,4,6,4
"lover",1,0,2,2,0,0,2
"loves",6,0,2,5,2,1,2
"low",5,2,26,12,5,9,11
"lower",3,2,30,7,9,11,2
"lowest",2,2,6,5,5,1,1
"lowmaintenance",1,0,0,0,0,0,0
"loyal",2,0,0,1,0,0,0
"luck",3,0,5,3,1,6,10
"luckily",1,0,1,0,2,8,21
"lucky",8,1,2,3,2,14,27
"lucy",1,0,0,0,0,3,0
"luiselbravoccgaming",1,0,0,0,0,0,0
"luke",1,0,2,0,1,0,0
"lump",1,0,2,0,1,0,1
"lunch",1,0,1,1,3,15,25
"lying",7,0,2,5,5,7,7
"machine",2,0,10,7,5,9,6
"machinee",4,0,0,0,0,0,0
"machinist",4,0,0,0,0,0,0
"mad",3,0,15,9,4,15,19
"made",46,12,152,64,54,67,113
"madmen",1,0,2,1,1,0,1
"mafia",1,0,0,4,0,1,0
"mag",1,0,2,3,1,9,3
"maga",1,0,0,0,0,2,2
"magazine",2,1,6,7,1,3,2
"magazines",1,0,4,6,2,2,0
"magic",1,0,1,0,0,0,0
"magnitude",1,0,0,0,0,0,0
"magy",1,0,0,0,0,0,0
"mahi",1,0,0,0,0,0,0
"maiden",3,0,0,0,0,0,1
"maidens",5,0,0,0,0,0,0
"mail",1,0,2,2,0,0,1
"main",2,1,4,2,3,16,13
"mainly",1,0,8,1,0,4,0
"majku",1,0,0,0,0,0,0
"major",4,2,7,6,2,4,7
"majority",4,0,19,11,14,6,7
"make",77,29,243,128,89,189,217
"makes",40,12,66,37,28,83,78
"makeup",1,0,1,0,0,0,0
"making",15,2,53,40,22,57,60
"male",3,1,4,1,1,8,5
"males",5,0,4,4,0,1,1
"mall",1,2,6,1,3,3,0
"man",37,5,80,31,30,139,148
"manager",2,0,0,0,1,4,0
"manages",1,0,0,0,1,0,3
"mandated",1,1,0,0,0,0,0
"manga",1,0,0,0,0,0,0
"maniac",1,0,1,0,0,2,6
"manipulated",1,0,0,0,0,0,0
"manners",1,0,0,0,0,0,0
"mannn",1,0,0,0,0,0,0
"mans",1,0,3,0,0,4,4
"manuals",1,0,0,0,0,0,0
"manufacture",4,0,2,1,0,0,0
"many",37,7,182,100,59,120,79
"manâuus",1,0,0,0,0,0,0
"map",2,0,0,1,1,0,2
"march",1,0,1,0,1,3,0
"marches",2,0,0,0,0,0,0
"marie",1,0,0,0,0,0,2
"marines",1,0,1,1,0,1,0
"mario",1,0,0,0,0,3,1
"marjory",1,0,0,0,0,0,0
"mark",3,1,6,2,4,4,3
"market",2,0,29,20,14,5,3
"marks",2,1,0,1,0,0,0
"marriages",1,0,0,0,0,0,0
"martial",1,0,6,2,1,7,6
"martin",2,0,3,0,2,1,1
"martyrs",1,0,1,0,0,0,0
"mask",5,0,0,1,0,5,1
"maskenmakkan",1,0,0,0,0,0,0
"masokra",1,0,0,0,0,0,0
"masons",1,0,0,0,0,0,0
"masquerading",2,0,1,0,0,0,0
"mass",26,13,285,135,78,98,74
"massacre",4,12,90,39,25,48,36
"massacred",1,1,4,0,3,3,1
"masse",1,0,0,0,0,1,0
"massive",1,0,8,5,3,6,3
"massoud",1,0,0,0,0,0,0
"massrapes",2,0,0,0,0,0,0
"massshooter",5,0,0,0,0,0,0
"massshooters",10,0,0,0,0,0,0
"massshootings",6,0,0,0,2,0,0
"mast",1,0,0,0,0,0,0
"mate",2,0,8,0,1,6,3
"materials",2,0,0,0,3,0,0
"mathew",1,0,1,0,1,0,0
"matt",1,0,0,1,2,0,1
"matter",18,3,43,25,19,22,27
"matthew",3,0,2,4,0,5,4
"max",1,0,2,0,0,3,3
"may",16,7,47,31,26,44,40
"maybe",32,3,77,40,29,96,72
"mayors",2,0,0,0,0,0,0
"mcviegh",1,0,0,0,0,0,0
"meal",2,0,1,0,0,0,0
"meals",1,0,3,0,0,0,0
"mean",35,4,103,35,34,60,84
"meaning",1,0,11,2,2,7,4
"meaningful",1,0,1,1,0,0,1
"means",9,5,40,33,12,25,26
"meant",2,0,19,8,4,8,10
"measures",1,0,1,7,1,3,1
"meat",1,0,2,1,0,3,3
"medal",1,0,1,0,0,3,3
"media",44,6,66,34,19,16,11
"median",1,0,1,0,0,0,0
"medias",6,0,1,0,0,0,0
"medical",1,0,4,2,1,1,6
"medication",1,0,2,6,0,0,0
"medieval",1,0,3,1,0,0,0
"medinas",1,0,0,0,0,0,0
"melee",2,0,4,0,2,0,2
"meloy",1,0,0,0,0,0,0
"member",7,0,6,6,2,4,5
"members",1,0,11,4,5,16,1
"meme",2,0,0,0,1,4,10
"memes",4,0,0,0,0,6,5
"memo",4,0,0,0,0,0,0
"memory",1,0,3,1,1,2,0
"men",12,1,19,10,14,25,19
"mendoza",1,0,0,0,0,0,0
"mens",1,0,1,0,0,0,1
"ment",1,0,1,1,1,0,3
"mental",30,4,62,49,25,18,12
"mentality",2,1,4,4,4,3,0
"mentally",19,3,35,22,9,12,13
"mention",2,2,25,13,7,8,10
"mentioned",2,3,5,10,1,6,2
"mentions",1,0,1,4,2,2,3
"mercy",6,0,0,1,0,4,3
"merely",2,0,3,1,0,0,1
"merica",2,0,5,1,3,3,3
"merio",3,0,0,0,0,0,0
"mess",2,0,3,2,0,7,16
"message",1,2,9,5,1,5,8
"messed",5,0,7,5,2,10,8
"messer",1,0,0,0,0,0,0
"messi",1,0,0,0,0,1,0
"met",5,0,4,1,4,2,2
"metal",23,0,13,6,9,23,22
"metals",1,0,0,0,0,0,0
"meth",1,0,1,1,2,0,1
"methheroin",1,0,0,0,0,0,0
"method",2,0,4,1,2,7,3
"mex",11,0,0,0,0,0,0
"mexi",1,0,0,0,0,0,0
"mexican",6,0,1,7,3,3,2
"mexico",3,0,17,10,6,3,7
"mexs",2,0,0,0,0,0,0
"meðuf¤¦ðufuufðuf¤u",1,0,0,0,0,0,0
"miami",1,0,0,0,0,1,1
"michael",3,0,2,6,3,2,2
"mickey",2,0,0,0,0,0,0
"microscopic",2,0,1,0,0,0,0
"microsoft",1,0,0,0,0,0,0
"middle",7,0,12,7,12,62,85
"might",15,5,36,15,25,92,69
"mightycarrot",1,0,0,0,0,0,0
"migrants",2,0,0,0,0,1,0
"mike",2,8,2,4,0,4,0
"miles",2,2,6,3,2,2,5
"milf",3,0,0,0,0,2,0
"military",3,1,54,31,6,17,16
"militã¤r",1,0,0,0,0,0,0
"milk",1,0,0,2,0,1,2
"miller",1,0,0,0,0,1,1
"million",5,0,27,18,8,7,4
"millions",9,1,17,16,4,1,10
"mind",14,1,41,15,15,22,24
"mindand",1,0,0,0,0,0,0
"minds",2,1,4,4,3,1,2
"mindset",1,0,2,0,1,1,0
"mine",3,0,12,5,4,20,29
"mingok",1,0,0,0,0,0,0
"mini",2,1,2,1,0,5,3
"minigun",1,0,0,0,0,1,4
"minimized",1,0,0,0,0,0,0
"minorities",2,0,2,0,0,0,0
"minority",5,0,1,4,1,1,0
"minorityrace",1,0,0,0,0,0,0
"minute",10,0,2,8,2,6,18
"minutes",18,2,10,7,15,75,96
"minuts",1,0,0,0,0,1,0
"mirror",1,0,1,0,1,0,0
"misbehavior",1,0,0,0,0,0,0
"misguided",1,0,1,0,0,0,0
"misguiding",1,0,0,0,0,0,0
"misquoted",1,0,0,0,0,0,0
"miss",4,0,4,0,3,4,10
"missed",3,0,8,2,0,9,6
"missinformed",1,0,0,0,0,0,0
"missing",2,0,4,5,0,4,7
"misspelled",1,1,2,0,0,0,1
"mistake",2,0,9,2,0,3,5
"mks",1,0,0,0,0,0,0
"mobile",1,0,1,0,0,0,2
"mocking",3,0,0,0,0,0,0
"modernes",1,0,0,0,0,0,0
"moen",1,0,0,0,0,0,0
"moet",1,0,0,0,0,0,0
"molested",1,0,0,0,0,0,0
"molotove",1,0,0,0,0,0,0
"mom",5,0,16,5,9,27,54
"moment",1,1,9,5,2,17,15
"moments",1,0,5,1,0,3,1
"momma",1,0,0,0,1,1,1
"mommys",1,0,0,0,0,0,0
"moms",2,0,3,0,3,3,1
"mona",3,0,1,0,0,0,0
"money",13,6,29,26,12,16,20
"moneyloving",1,0,0,0,0,0,0
"monkey",3,0,0,0,1,0,2
"monopoly",26,0,0,0,0,0,0
"monster",4,1,0,1,0,1,1
"monsters",3,2,4,3,1,1,0
"month",5,0,11,6,3,21,20
"months",9,0,11,5,2,13,9
"moral",1,0,6,2,2,3,2
"morally",1,0,1,3,1,0,1
"moralsingularity",5,0,0,0,0,0,0
"more",11,3,18,14,14,15,7
"moreðufu¢nnwhy",1,0,0,0,0,0,0
"morgan",1,0,1,2,0,1,2
"morning",2,1,0,0,0,6,10
"morningðufuuðufuu",1,0,0,0,0,0,0
"moron",5,4,24,8,3,4,0
"morons",4,1,5,3,1,5,4
"moronsnthen",1,0,0,0,0,0,0
"moseby",1,0,0,0,0,0,0
"most",16,1,32,13,14,24,17
"mostly",13,1,15,7,7,19,9
"mostlynonwhite",1,0,0,0,0,0,0
"mother",9,1,16,7,12,14,14
"motherfucker",4,0,8,0,4,6,1
"mothers",1,0,1,2,2,1,0
"motivated",2,0,2,1,1,1,1
"motivations",1,0,1,0,0,0,0
"motive",1,1,10,5,3,2,3
"motivenna",3,0,0,0,0,0,0
"motives",2,0,6,1,2,3,4
"mountingnnim",1,0,0,0,0,0,0
"mouth",6,0,5,0,3,3,5
"mouths",2,0,1,0,3,2,4
"move",3,1,11,6,7,32,29
"moved",3,0,2,2,3,14,11
"moving",1,2,2,1,0,11,6
"mrpresident",1,0,0,0,0,0,0
"mrs",1,0,2,0,0,0,0
"msdnc",1,0,0,0,0,0,0
"msm",2,0,0,3,1,0,0
"much",27,6,154,60,56,120,116
"muchi",1,0,0,0,0,0,0
"mufti",1,0,0,0,0,0,0
"muhammad",1,0,1,1,0,3,1
"multiple",6,0,8,10,6,8,11
"mum",1,0,1,0,0,2,3
"murder",18,10,141,62,24,22,16
"murdered",9,2,13,10,2,14,4
"murderer",1,1,3,1,3,1,3
"murderers",1,0,18,8,0,1,5
"murdering",1,0,6,0,3,3,2
"murderrates",5,0,0,0,0,0,0
"murders",5,6,72,27,14,7,9
"murderstealersshooters",1,0,0,0,0,0,0
"murdersuicide",1,0,3,0,0,0,0
"murica",1,0,4,5,5,17,8
"muricaa",1,0,0,0,0,0,0
"murikaaaaa",1,0,0,0,0,0,0
"musc",3,0,0,0,0,0,0
"music",2,2,72,24,10,17,22
"musically",1,0,0,0,0,0,0
"muskets",1,0,4,2,0,1,0
"muslim",9,0,12,6,2,4,12
"muslimnotherwise",1,0,0,0,0,0,0
"muslims",2,3,5,6,1,7,6
"muslum",1,0,0,0,0,0,0
"mussie",1,0,0,0,0,0,0
"must",11,7,28,22,20,29,35
"musta",1,0,0,0,0,0,0
"muster",1,0,0,0,0,1,0
"mustered",1,0,0,0,0,0,0
"mute",1,0,0,1,0,0,1
"mutilating",1,0,0,0,0,0,0
"mutual",1,0,1,0,0,0,0
"muzle",1,0,0,0,0,0,0
"mya",3,0,0,0,0,1,0
"mygian",1,0,0,0,0,0,0
"mysterious",1,0,0,0,1,0,0
"mè¯rðµ",1,0,0,0,0,0,0
"nah",8,0,2,4,2,24,15
"naive",3,0,12,1,1,1,0
"naked",1,0,0,0,0,1,4
"nall",1,0,0,0,1,0,5
"nalthough",1,0,0,0,0,0,0
"namae",1,0,0,0,0,0,0
"name",16,2,37,17,15,20,28
"named",2,1,3,3,3,5,5
"namen",1,0,0,0,0,0,0
"names",1,1,9,9,3,4,3
"nand",2,1,4,4,3,8,7
"nany",1,0,0,0,0,0,0
"napers",1,0,0,0,0,0,0
"narcissism",2,0,0,1,0,0,0
"narcissistic",1,0,2,2,1,0,1
"nare",1,0,0,0,0,0,0
"narrative",1,0,0,0,1,0,2
"narrowminded",1,0,0,0,0,0,0
"nas",1,0,0,1,1,0,1
"nascar",1,0,0,0,0,2,0
"nation",5,3,25,30,16,12,5
"national",1,2,17,6,4,5,3
"nationality",1,0,0,0,2,0,1
"nationamerica",1,0,0,0,0,0,0
"nations",1,7,8,5,26,1,3
"nato",1,0,0,0,0,0,0
"natons",1,0,0,0,0,0,0
"natoturk",1,0,0,0,0,0,0
"natural",1,0,9,0,2,4,4
"naturally",1,0,1,1,1,0,0
"nature",1,2,10,2,1,1,2
"natã¼rlich",1,0,0,0,0,0,0
"nazi",4,2,6,0,4,2,0
"nba",1,0,0,0,0,0,0
"nbcâ",1,0,0,0,0,0,0
"nbe",1,0,0,0,0,1,0
"nbrainless",1,0,0,0,0,0,0
"nbut",2,1,4,3,3,3,11
"ncrying",1,0,0,0,0,0,0
"nea",1,0,0,0,0,1,0
"near",7,2,11,5,10,58,53
"nearby",1,0,1,2,2,6,16
"nearly",4,0,11,5,3,11,7
"necessarily",1,1,4,0,0,0,1
"necessary",2,0,9,10,3,19,14
"neck",5,0,1,1,1,10,15
"need",74,14,228,127,95,227,215
"needed",4,1,10,5,8,22,23
"needs",20,3,44,31,11,35,40
"negotiate",1,0,0,0,0,0,0
"negros",2,0,0,0,0,0,0
"neighborhood",2,0,7,3,1,7,15
"neighboring",1,0,0,0,0,2,2
"neighbors",2,0,2,1,1,1,1
"neil",1,0,0,1,0,0,0
"nein",1,0,0,0,1,0,0
"neither",3,0,15,5,0,3,3
"nem",1,0,0,0,0,0,0
"nerds",1,1,0,0,0,0,0
"network",2,0,1,0,0,3,1
"neutral",2,0,0,1,2,0,0
"never",56,23,147,116,87,200,221
"new",10,11,46,27,23,44,32
"news",37,7,40,26,12,45,44
"newsnand",1,0,0,0,0,0,0
"newsnoh",1,0,0,0,0,0,0
"newsnthis",1,0,0,0,0,0,0
"newsâuud",1,0,0,0,0,0,0
"newt",3,0,0,0,0,0,2
"next",30,3,39,22,15,89,130
"nfirst",1,0,0,0,0,0,0
"ngreetings",1,0,0,0,0,0,0
"ngrow",1,0,0,0,0,0,0
"nhey",1,0,1,0,0,0,2
"nhitler",1,0,0,0,0,0,0
"nhttpsnewsnetwatchvideophpvrxuuskhawx",1,0,0,0,0,0,0
"nhttpswwwyoutubecomwatchvocjiujmrqnid",1,0,0,0,0,0,0
"nhttpwwwdailymailcouknewsarticlemotherrevealsdaughtersurvivorfloridashootinghtmlnhttpswwwyoutubecomwatchvuclsxuotsnhttpswwwyoutubecomwatchvwrmhnshglcuni",1,0,0,0,0,0,0
"nice",13,0,27,11,5,34,29
"nicer",1,0,0,0,2,1,0
"nicholas",1,0,0,1,0,2,2
"nicholson",1,0,0,0,0,1,0
"nicht",2,0,0,0,0,0,0
"nick",3,0,1,3,2,2,0
"nickolas",1,0,0,0,0,0,0
"nicolas",3,0,0,0,0,0,0
"nicolle",1,0,0,0,0,0,0
"nicoulous",1,0,0,0,0,0,0
"nielsen",1,0,0,0,0,0,0
"niemalsðufuu",1,0,0,0,0,0,0
"nieto",3,0,0,0,0,0,0
"nif",1,0,4,2,0,7,4
"nigga",7,0,3,1,3,30,20
"niggas",5,0,1,1,0,4,11
"nigger",1,0,2,3,1,0,2
"niggers",2,0,1,2,1,6,1
"nigggers",1,0,0,0,0,0,0
"night",2,1,6,2,9,7,14
"nije",1,0,0,0,0,0,0
"nik",2,0,0,0,0,0,0
"nikolas",12,0,0,0,0,0,0
"niks",1,0,0,0,0,0,0
"nim",2,0,2,1,2,1,3
"nindividualâuus",1,0,0,0,0,0,0
"nineteen",1,0,0,0,0,0,0
"ninja",2,1,0,0,1,2,1
"nintruder",1,0,0,0,0,0,0
"nis",1,0,1,3,0,0,1
"nit",1,0,5,1,0,3,2
"nitâuus",1,0,0,0,0,0,0
"niya",2,0,0,0,0,0,0
"niâuull",1,0,0,0,0,0,0
"nlets",1,0,1,0,0,1,1
"nmass",1,0,0,0,0,0,0
"nmay",1,0,0,0,0,0,0
"nme",1,0,0,0,0,6,26
"nmust",1,0,0,0,0,0,0
"nmy",1,0,0,0,1,3,2
"nnall",2,0,0,0,0,0,2
"nnamericunts",1,0,0,0,0,0,0
"nnanother",1,0,0,0,0,0,0
"nnantigun",1,0,0,0,0,0,0
"nnaustralias",1,0,0,0,0,0,0
"nnchange",1,0,0,0,0,0,0
"nneeds",1,0,0,0,0,0,0
"nneither",1,0,0,0,0,0,0
"nneven",1,0,0,0,0,0,0
"nnflorida",1,0,0,0,0,0,0
"nnhttpwwwpolitifactcomnewyorkstatementsmarjohnfasoillegalgunownerscommitguncrimerepfanncriminals",1,0,0,0,0,0,0
"nni",2,0,4,3,1,5,7
"nnif",1,0,3,5,1,1,4
"nnim",1,0,1,5,0,1,0
"nnlucky",1,0,0,0,0,0,0
"nnmuslim",1,0,0,0,0,0,0
"nnnni",1,0,0,0,0,0,0
"nnnnncan",1,0,0,0,0,0,0
"nnnnnif",1,0,0,0,0,0,0
"nnnnnnn",1,0,0,0,0,0,0
"nnnnnnnnnnnnnah",1,0,0,0,0,0,0
"nnnnnnoh",1,0,0,0,0,0,0
"nno",1,0,1,1,2,0,2
"nnshit",1,0,0,0,0,1,0
"nnsome",1,0,0,0,0,0,2
"nnthe",2,0,4,5,4,5,3
"nnthen",1,0,0,0,0,0,0
"nnto",1,0,0,3,0,0,1
"nntrump",1,0,0,0,0,0,0
"nnuseful",1,0,0,0,0,0,0
"nnwhen",1,0,1,0,0,1,0
"nnyea",1,0,0,0,0,0,0
"nnyou",2,0,4,4,6,1,1
"nnðufuubmy",1,0,0,0,0,0,0
"noah",2,1,1,1,1,0,0
"nobodies",1,0,0,0,0,1,0
"nobody",13,3,26,14,16,33,65
"nobodyâuus",1,0,0,0,0,0,0
"noh",1,0,1,0,0,3,0
"noice",2,0,0,0,0,0,1
"noir",2,0,0,0,0,0,0
"noise",1,1,0,3,2,14,14
"noisepeople",1,0,0,0,0,0,0
"non",1,1,2,2,1,7,11
"none",7,0,17,17,11,31,17
"nonhispanic",2,0,0,0,0,0,0
"nonsense",1,1,4,1,1,2,1
"nonwhite",1,0,0,0,0,0,0
"noodles",1,0,0,0,0,0,0
"nooo",2,0,1,0,0,1,0
"noooooooo",1,0,0,0,0,0,0
"nope",1,0,5,2,2,9,6
"nor",2,0,3,0,0,1,0
"normal",5,3,26,8,6,23,27
"north",2,1,12,15,3,13,4
"norway",1,7,10,2,0,6,1
"norwayisfuckedup",1,0,0,0,0,0,0
"nose",1,0,0,1,0,3,11
"nosetti",1,0,0,0,0,0,0
"not",40,11,94,48,30,76,82
"noted",1,0,2,2,1,0,0
"notes",1,0,0,0,0,1,4
"nothign",1,0,0,0,0,0,0
"nothing",36,3,99,38,44,81,95
"nothingnthe",1,0,0,1,0,0,0
"notice",6,0,10,13,6,17,13
"noticed",2,1,3,5,4,7,9
"notion",1,0,0,0,2,0,1
"notmorne",1,0,0,0,0,0,0
"notnas",1,0,0,0,0,0,0
"notnnstop",1,0,0,0,0,0,0
"notoriety",1,0,0,1,0,0,0
"nout",1,0,0,0,0,0,0
"november",1,0,0,1,0,0,0
"now",65,18,136,72,52,194,245
"nowadays",1,0,2,0,3,3,3
"nowðufu¢",1,0,0,0,0,0,1
"npretend",1,0,0,0,0,0,0
"nput",1,0,0,0,0,0,0
"nquestion",1,0,0,0,0,0,0
"nra",8,5,11,6,8,5,3
"nras",2,0,0,0,0,0,0
"nsecond",1,0,0,0,0,0,0
"nso",1,0,3,1,2,0,3
"nsorry",1,0,0,0,0,0,0
"nsure",1,0,0,0,0,0,0
"nthe",1,4,3,3,2,3,13
"ntheres",1,0,1,0,0,0,0
"nuffin",1,0,0,0,0,0,0
"nuke",1,0,1,5,3,3,2
"nukes",2,0,1,1,0,2,0
"number",4,9,86,39,19,17,16
"numbers",3,5,15,5,7,3,5
"numbing",1,0,0,0,0,0,0
"nutjob",2,0,1,0,0,0,0
"nvm",1,0,0,0,0,3,0
"nwe",1,0,2,0,0,2,4
"nyea",1,0,0,0,0,0,0
"nyes",1,0,0,0,0,0,1
"nyou",1,0,4,3,3,4,3
"nðµtwork",1,0,0,0,0,0,0
"obama",7,2,27,19,3,8,2
"obamaholder",1,0,0,0,0,0,0
"obamannits",1,0,0,0,0,0,0
"obamas",1,0,3,3,0,1,1
"obamashitllarys",1,0,0,0,0,0,0
"obedience",1,0,0,0,1,0,0
"obesity",1,0,3,1,0,0,1
"obioiusly",1,0,0,0,0,0,0
"object",2,1,4,7,0,7,11
"objects",1,0,5,4,4,7,10
"oblivious",1,0,0,1,0,1,0
"obtain",1,0,14,5,1,4,0
"obtained",1,0,7,3,1,2,0
"obvious",3,0,8,8,5,16,14
"obviously",15,0,38,18,9,33,28
"occupied",1,0,0,1,1,3,0
"occured",1,0,2,2,0,0,1
"ocd",1,0,1,0,0,0,0
"ocher",1,0,0,0,0,0,0
"october",2,0,0,0,0,1,5
"oda",1,0,0,0,0,0,0
"odd",4,1,3,3,1,0,4
"oder",3,0,0,0,0,0,0
"ofc",2,0,0,0,0,1,7
"ofcourse",1,0,0,0,0,0,2
"off",4,0,3,0,1,6,9
"offa",1,0,0,0,0,0,0
"offended",3,0,7,2,0,0,2
"offensive",1,1,3,2,1,2,1
"offer",1,0,2,0,0,1,1
"offered",1,0,0,1,0,1,0
"officer",8,1,3,2,5,21,18
"officers",4,1,14,10,4,39,28
"offices",1,0,0,0,1,0,0
"official",2,0,3,1,3,5,6
"officials",1,0,3,1,1,3,0
"often",8,0,19,10,12,13,11
"ohh",1,0,0,1,0,2,4
"ohhhh",1,0,1,0,0,1,0
"okay",9,1,16,12,12,24,40
"okaynnme",1,0,0,0,0,0,0
"okie",1,0,0,0,0,0,0
"oklahoma",1,1,3,1,0,1,1
"oklahomas",1,0,0,0,0,0,0
"okâuud",1,0,0,0,0,0,0
"old",32,3,43,17,32,52,67
"oldchrist",1,0,0,0,0,0,0
"older",5,0,2,2,4,5,8
"oldnninstead",1,0,0,0,0,0,0
"olds",1,1,3,2,4,5,4
"ole",2,0,0,0,0,0,1
"olivier",1,0,0,0,0,0,0
"omegamagnusda",2,0,0,0,0,0,0
"omfg",1,0,0,3,3,1,2
"omg",13,3,7,5,11,33,61
"once",4,0,3,2,10,25,38
"oneill",1,0,0,0,0,0,0
"ones",18,3,55,36,22,56,30
"onesðufu¢ðufuuðufuu",1,0,0,0,0,0,0
"ongoing",1,0,0,0,0,1,0
"online",1,0,9,5,1,8,5
"only",13,2,28,12,11,47,25
"onto",3,0,4,7,3,9,8
"oof",3,0,0,0,0,0,4
"ooo",1,0,0,0,0,0,1
"open",5,0,13,4,28,89,99
"opened",1,1,2,2,3,10,22
"openly",3,2,0,0,0,1,0
"operation",1,0,1,1,1,1,0
"operative",1,0,4,0,0,0,0
"opinion",6,0,36,9,13,23,13
"opinions",1,0,8,2,9,2,1
"oppertunity",1,0,0,0,1,0,0
"opponent",1,1,0,0,1,0,0
"option",3,0,5,0,2,13,11
"orange",5,0,0,1,0,2,3
"orangeco",1,0,0,0,0,0,0
"ordeal",1,0,0,0,0,1,0
"order",5,2,16,6,12,10,6
"orders",1,0,1,1,1,1,2
"organisationen",1,0,0,0,0,0,0
"organization",1,0,2,0,0,0,0
"organized",4,0,5,1,2,1,1
"original",3,0,4,2,3,3,2
"originally",1,0,4,1,1,0,0
"orlando",1,0,0,0,0,28,11
"oscars",1,0,0,0,0,0,0
"ostracization",1,0,0,0,0,0,0
"ostracized",2,0,0,0,0,0,0
"other",4,0,6,2,3,5,30
"others",27,3,50,28,24,26,25
"otherwise",2,2,5,5,9,3,4
"our",3,4,9,6,9,43,56
"ourworld",1,0,0,0,0,0,0
"out",2,0,1,3,3,19,43
"outburst",1,0,0,0,0,0,0
"outliers",1,0,0,0,0,0,0
"outnumbers",1,0,0,0,0,0,0
"outright",1,1,5,1,0,1,0
"outrun",2,0,0,0,0,4,25
"outside",5,2,23,9,11,92,129
"outta",3,0,2,0,3,11,18
"overfilled",1,0,0,0,0,0,0
"overkill",2,0,0,0,2,0,1
"overlord",1,0,0,0,0,0,0
"overpowered",1,0,0,0,0,0,0
"overrun",1,0,0,0,0,0,0
"overskeep",1,0,0,0,0,0,0
"overthrow",1,0,2,0,2,1,2
"overturned",1,0,0,0,0,0,1
"own",4,0,2,1,1,0,0
"owned",1,0,7,1,5,0,3
"owners",1,0,11,11,6,1,0
"ownership",2,5,12,20,9,1,2
"ownershipsimpleton",1,0,0,0,0,0,0
"owning",2,2,9,12,5,2,1
"owns",2,1,3,3,1,2,2
"oxford",1,1,0,0,0,0,0
"packed",1,0,1,1,1,1,3
"pagan",1,1,0,0,0,0,0
"pagans",1,0,0,0,0,0,0
"page",2,0,6,2,0,2,0
"pagensecond",1,0,0,0,0,0,0
"pages",1,0,2,0,1,1,1
"paid",6,2,3,1,6,4,4
"paige",3,0,0,0,0,0,0
"pain",13,1,6,3,3,4,8
"painful",4,0,3,1,1,2,2
"painfully",1,0,0,0,0,1,0
"paint",2,0,2,1,0,3,4
"painted",1,0,0,0,0,2,1
"pair",1,0,0,1,1,9,14
"pal",1,0,3,0,0,1,1
"palestinians",4,0,0,0,0,0,0
"pandemic",1,0,0,0,0,0,0
"panic",2,0,2,1,4,20,39
"panicking",1,0,0,0,0,2,2
"panting",1,0,0,0,0,0,0
"pants",2,1,1,1,1,13,16
"pap",2,0,0,0,0,0,0
"paper",1,0,2,1,9,17,30
"paradise",1,0,0,1,0,0,0
"paragraph",3,0,1,1,1,0,1
"paralysis",1,0,0,0,0,0,0
"paralyzed",1,0,1,0,0,1,0
"parasitic",1,0,0,0,0,0,0
"parent",2,2,6,1,2,11,16
"parents",24,5,48,25,40,116,135
"park",1,0,3,1,0,3,2
"parker",2,0,0,1,5,2,2
"parkland",8,0,0,0,0,0,0
"parks",1,0,0,1,0,0,0
"parole",1,2,3,2,0,1,0
"parris",1,0,0,0,0,0,0
"part",16,9,48,23,21,30,49
"partially",1,0,0,1,1,0,1
"participate",1,0,0,0,0,0,2
"particular",1,0,2,1,3,0,2
"parts",2,1,5,8,2,4,1
"party",15,3,2,2,3,2,4
"partymate",1,0,0,0,0,0,0
"partys",1,0,0,0,0,0,0
"pass",2,0,1,8,4,7,19
"passed",4,0,9,6,4,5,11
"passer",1,0,0,0,0,0,0
"passiert",1,0,0,0,0,0,0
"passing",2,0,1,3,1,1,3
"passive",1,0,0,0,0,0,1
"past",4,3,23,5,7,19,18
"path",1,0,0,0,1,3,4
"pathetic",3,1,7,6,1,16,7
"patriot",1,1,0,0,0,0,0
"patroling",1,0,0,0,0,0,0
"patsy",1,0,1,0,0,0,0
"pattern",1,0,0,2,1,1,0
"paul",3,0,0,7,1,2,1
"pauljohn",1,0,0,0,0,0,0
"paused",2,0,2,0,0,0,0
"pawn",1,0,0,0,0,2,0
"pay",3,2,15,8,5,11,8
"payday",1,0,0,0,0,0,1
"payed",2,0,0,1,0,0,3
"payers",1,0,1,0,0,0,0
"paying",2,0,5,5,1,1,1
"payssexslavery",4,0,0,0,0,0,0
"paz",1,0,0,0,0,0,0
"peace",19,1,19,7,2,8,2
"peaceful",2,0,6,3,4,2,2
"peacefull",1,0,0,0,0,0,0
"peacefully",1,0,0,1,0,2,0
"peashooting",1,0,0,0,0,0,0
"pedestrians",1,0,0,0,0,0,0
"pedophiles",1,0,0,0,0,0,0
"pee",1,0,0,0,0,2,10
"peeking",2,0,0,0,0,0,0
"peers",2,0,1,2,1,2,1
"pen",3,0,0,0,0,2,5
"pena",3,0,0,0,0,0,0
"penalty",43,0,3,9,1,0,1
"penaltynnin",1,0,0,0,0,0,0
"pencil",1,0,2,0,1,25,38
"pencils",1,0,0,1,1,14,22
"peng",1,0,0,0,0,0,2
"peoplendid",1,0,0,0,0,0,0
"peoplenneven",1,0,0,0,0,0,0
